feature,mean_shap
total_matches_missed,0.28064868
avg_rating,0.22487251
pass_accuracy,0.19378011
total_minutes,0.16124365
avg_days_per_injury,0.13925694
shots_p90,0.11341644
total_injuries,0.1090411
duels_won_p90,0.10381791
total_days_absent,0.09250206
matches_played,0.07488117
goals_p90,0.068754874
xg_p90,0.06726098
interceptions_p90,0.06591467
passes_p90,0.058225125
key_passes_p90,0.055418145
assists_p90,0.050933473
xa_p90,0.04926173
tackles_p90,0.043224566
position,0.012895084
