sofascore_match_id,sofascore_player_id,player_name,position,side,substitute,minutes_played,rating,goals,goal_assist,total_shots,on_target,total_pass,accurate_pass,total_long_balls,accurate_long_balls,total_cross,accurate_cross,key_pass,duel_won,duel_lost,aerial_won,aerial_lost,total_contest,won_contest,interception_won,total_tackle,won_tackle,total_clearance,ball_recovery,dispossessed,possession_lost,fouls,was_fouled,touches,saves,xg,xa,xg_on_target,proposed_market_value,league
12436870,787498,André Onana,G,home,False,90.0,7.3,0,0,0,0,23,16,9,2,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,7,0,0,34,2,,0.00013777,,11100000.0,Premier League
12436870,847030,Noussair Mazraoui,D,home,False,81.0,7.4,0,0,0,0,38,35,0,0,0,0,0,6,1,3,1,0,0,3,2,2,2,5,0,4,0,1,55,0,,0.0138315,,19400000.0,Premier League
12436870,149380,Harry Maguire,D,home,False,81.0,7.2,0,0,0,0,60,50,5,2,0,0,0,6,3,5,1,2,1,3,0,0,5,5,0,11,2,0,72,0,,0.0138249,,10700000.0,Premier League
12436870,859999,Lisandro Martínez,D,home,False,90.0,7.3,0,0,0,0,61,54,6,4,0,0,1,3,4,0,1,0,0,3,3,2,2,2,0,7,1,0,70,0,,0.0221258,,42000000.0,Premier League
12436870,843200,Diogo Dalot,D,home,False,90.0,7.5,0,0,0,0,52,45,4,3,3,0,0,6,4,2,2,1,1,1,2,1,3,6,0,11,2,1,70,0,,0.0175676,,28000000.0,Premier League
12436870,122951,Casemiro,M,home,False,90.0,8.4,0,0,3,0,53,43,2,2,3,1,3,7,6,2,2,1,0,1,4,2,4,7,0,14,1,1,81,0,0.1628,0.498426,,7300000.0,Premier League
12436870,1142175,Kobbie Mainoo,M,home,False,84.0,7.6,0,0,1,0,41,37,3,3,0,0,0,13,12,2,3,5,4,5,3,3,0,6,4,10,3,4,66,0,0.0298,0.0135142,,52000000.0,Premier League
12436870,971037,Amad Diallo,M,home,False,61.0,7.1,0,0,0,0,29,26,1,0,2,1,1,2,3,0,1,1,1,2,1,1,0,6,2,9,0,0,41,0,,0.132972,,49000000.0,Premier League
12436870,836694,Mason Mount,M,home,False,61.0,6.4,0,0,1,1,15,11,0,0,0,0,2,5,6,1,0,2,0,0,3,1,0,1,3,10,1,1,27,0,0.2952,0.0291336,0.2957,28000000.0,Premier League
12436870,814590,Marcus Rashford,M,home,False,90.0,6.7,0,0,0,0,29,22,2,1,1,0,1,2,7,1,0,5,0,1,0,0,1,4,1,16,1,1,44,0,,0.114362,,38000000.0,Premier League
12436870,288205,Bruno Fernandes,F,home,False,90.0,6.7,0,0,6,3,50,42,6,4,8,0,0,3,6,0,2,1,1,0,2,1,0,6,2,20,0,0,73,0,1.1926,0.0330703,0.9106,37000000.0,Premier League
12436870,1135873,Alejandro Garnacho,F,home,True,29.0,6.7,0,1,2,0,10,9,0,0,1,1,2,3,4,1,1,1,0,0,1,1,1,2,1,5,0,1,20,0,0.6804,0.0932299,,37000000.0,Premier League
12436870,917007,Joshua Zirkzee,F,home,True,29.0,7.2,1,0,1,1,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,12,0,0.0729,0.00400749,0.8608,23000000.0,Premier League
12436870,803031,Matthijs de Ligt,D,home,True,9.0,6.5,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,0.00016065,,42000000.0,Premier League
12436870,30144,Jonny Evans,D,home,True,9.0,6.6,0,0,0,0,6,4,1,1,0,0,0,1,2,1,1,0,0,0,0,0,1,0,0,2,1,0,8,0,,0.00015759,,,Premier League
12436870,879346,Scott McTominay,M,home,True,11.0,6.6,0,0,0,0,4,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,,0.00079422,,42000000.0,Premier League
12436870,815890,Altay Bayındır,G,home,True,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,6800000.0,Premier League
12436870,958380,Antony,F,home,True,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,27000000.0,Premier League
12436870,1084356,Toby Collyer,M,home,True,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5200000.0,Premier League
12436870,105734,Christian Eriksen,M,home,True,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2900000.0,Premier League
12436870,103335,Bernd Leno,G,away,False,90.0,6.8,0,0,0,0,39,27,14,3,0,0,0,1,0,1,0,0,0,0,0,0,1,9,0,12,0,0,48,4,,0.00011966,,7400000.0,Premier League
